ticker,name,market,source,sector
069960.KS,현대백화점,KOSPI,naver_kospi,
489790.KS,한화비전,KOSPI,naver_kospi,
051900.KS,LG생활건강,KOSPI,naver_kospi,
111770.KS,영원무역,KOSPI,naver_kospi,
012510.KS,더존비즈온,KOSPI,naver_kospi,
251270.KS,넷마블,KOSPI,naver_kospi,
012750.KS,에스원,KOSPI,naver_kospi,
035250.KS,강원랜드,KOSPI,naver_kospi,
001450.KS,현대해상,KOSPI,naver_kospi,
036460.KS,한국가스공사,KOSPI,naver_kospi,
383220.KS,F&F,KOSPI,naver_kospi,
011170.KS,롯데케미칼,KOSPI,naver_kospi,
031210.KS,서울보증보험,KOSPI,naver_kospi,
007810.KS,코리아써키트,KOSPI,naver_kospi,
014680.KS,한솔케미칼,KOSPI,naver_kospi,
005850.KS,에스엘,KOSPI,naver_kospi,
017800.KS,현대엘리베이터,KOSPI,naver_kospi,
011780.KS,금호석유화학,KOSPI,naver_kospi,
302440.KS,SK바이오사이언스,KOSPI,naver_kospi,
001720.KS,신영증권,KOSPI,naver_kospi,
204320.KS,HL만도,KOSPI,naver_kospi,
004800.KS,효성,KOSPI,naver_kospi,
097950.KS,CJ제일제당,KOSPI,naver_kospi,
020150.KS,롯데에너지머티리얼즈,KOSPI,naver_kospi,
051600.KS,한전KPS,KOSPI,naver_kospi,
375500.KS,DL이앤씨,KOSPI,naver_kospi,
139130.KS,iM금융지주,KOSPI,naver_kospi,
028670.KS,팬오션,KOSPI,naver_kospi,
009420.KS,한올바이오파마,KOSPI,naver_kospi,
455890.KS,RISE 머니마켓액티브,KOSPI,naver_kospi,
279570.KS,케이뱅크,KOSPI,naver_kospi,
004990.KS,롯데지주,KOSPI,naver_kospi,
001740.KS,SK네트웍스,KOSPI,naver_kospi,
000240.KS,한국앤컴퍼니,KOSPI,naver_kospi,
026960.KS,동서,KOSPI,naver_kospi,
456600.KS,TIME 글로벌AI인공지능액티브,KOSPI,naver_kospi,
457190.KS,이수스페셜티케미컬,KOSPI,naver_kospi,
161510.KS,PLUS 고배당주,KOSPI,naver_kospi,
006360.KS,GS건설,KOSPI,naver_kospi,
139480.KS,이마트,KOSPI,naver_kospi,
009970.KS,영원무역홀딩스,KOSPI,naver_kospi,
483650.KS,달바글로벌,KOSPI,naver_kospi,
003690.KS,코리안리,KOSPI,naver_kospi,
007340.KS,DN오토모티브,KOSPI,naver_kospi,
439260.KS,대한조선,KOSPI,naver_kospi,
030000.KS,제일기획,KOSPI,naver_kospi,
426030.KS,TIME 미국나스닥100액티브,KOSPI,naver_kospi,
004370.KS,농심,KOSPI,naver_kospi,
081660.KS,미스토홀딩스,KOSPI,naver_kospi,
294400.KS,KIWOOM 200TR,KOSPI,naver_kospi,
071970.KS,HD현대마린엔진,KOSPI,naver_kospi,
282330.KS,BGF리테일,KOSPI,naver_kospi,
120110.KS,코오롱인더,KOSPI,naver_kospi,
008770.KS,호텔신라,KOSPI,naver_kospi,
385540.KS,RISE 종합채권(A-이상)액티브,KOSPI,naver_kospi,
005440.KS,현대지에프홀딩스,KOSPI,naver_kospi,
011210.KS,현대위아,KOSPI,naver_kospi,
103140.KS,풍산,KOSPI,naver_kospi,
008930.KS,한미사이언스,KOSPI,naver_kospi,
