ticker,name,market,sector,source
002700.KS,신일전자,KOSPI,,naver_kospi
002710.KS,TCC스틸,KOSPI,,naver_kospi
002720.KS,국제약품,KOSPI,,naver_kospi
002760.KS,보락,KOSPI,,naver_kospi
002780.KS,진흥기업,KOSPI,,naver_kospi
002790.KS,아모레퍼시픽홀딩스,KOSPI,,naver_kospi
002800.KQ,신신제약,KOSDAQ,,naver_kosdaq
002810.KS,삼영무역,KOSPI,,naver_kospi
002820.KS,SUN&L,KOSPI,,naver_kospi
002840.KS,미원상사,KOSPI,,naver_kospi
002870.KS,신풍,KOSPI,,naver_kospi
002880.KS,디와이에이,KOSPI,,naver_kospi
002900.KS,TYM,KOSPI,,naver_kospi
002920.KS,유성기업,KOSPI,,naver_kospi
002960.KS,한국쉘석유,KOSPI,,naver_kospi
002990.KS,금호건설,KOSPI,,naver_kospi
003000.KS,부광약품,KOSPI,,naver_kospi
003010.KS,혜인,KOSPI,,naver_kospi
003030.KS,세아제강지주,KOSPI,,naver_kospi
003060.KS,에이프로젠바이오로직스,KOSPI,,naver_kospi
003070.KS,코오롱글로벌,KOSPI,,naver_kospi
003080.KS,SB성보,KOSPI,,naver_kospi
003090.KS,대웅,KOSPI,,naver_kospi
003100.KQ,선광,KOSDAQ,,naver_kosdaq
003120.KS,일성아이에스,KOSPI,,naver_kospi
003160.KS,디아이,KOSPI,,naver_kospi
003200.KS,일신방직,KOSPI,,naver_kospi
003220.KS,대원제약,KOSPI,,naver_kospi
003230.KS,삼양식품,KOSPI,,naver_kospi
003240.KS,태광산업,KOSPI,,naver_kospi
003280.KS,흥아해운,KOSPI,,naver_kospi
003300.KS,한일홀딩스,KOSPI,,naver_kospi
003310.KQ,대주산업,KOSDAQ,,naver_kosdaq
003350.KS,한국화장품제조,KOSPI,,naver_kospi
003380.KQ,하림지주,KOSDAQ,,naver_kosdaq
003460.KS,유화증권,KOSPI,,naver_kospi
003470.KS,유안타증권,KOSPI,,naver_kospi
003480.KS,한진중공업홀딩스,KOSPI,,naver_kospi
003490.KS,대한항공,KOSPI,,naver_kospi
003520.KS,영진약품,KOSPI,,naver_kospi
003530.KS,한화투자증권,KOSPI,,naver_kospi
003540.KS,대신증권,KOSPI,,naver_kospi
003550.KS,LG,KOSPI,,naver_kospi
003570.KS,SNT다이내믹스,KOSPI,,naver_kospi
003580.KS,HLB글로벌,KOSPI,,naver_kospi
003610.KS,방림,KOSPI,,naver_kospi
003620.KS,KG모빌리티,KOSPI,,naver_kospi
003650.KS,미창석유,KOSPI,,naver_kospi
003670.KS,포스코퓨처엠,KOSPI,,naver_kospi
003680.KS,한성기업,KOSPI,,naver_kospi
003690.KS,코리안리,KOSPI,,naver_kospi
003720.KS,삼영,KOSPI,,naver_kospi
003780.KS,진양산업,KOSPI,,naver_kospi
003800.KQ,에이스침대,KOSDAQ,,naver_kosdaq
003830.KS,대한화섬,KOSPI,,naver_kospi
003850.KS,보령,KOSPI,,naver_kospi
003920.KS,남양유업,KOSPI,,naver_kospi
003960.KS,사조대림,KOSPI,,naver_kospi
004000.KS,롯데정밀화학,KOSPI,,naver_kospi
004020.KS,현대제철,KOSPI,,naver_kospi
004060.KS,SG세계물산,KOSPI,,naver_kospi
004080.KS,신흥,KOSPI,,naver_kospi
004090.KS,한국석유,KOSPI,,naver_kospi
004100.KS,태양금속,KOSPI,,naver_kospi
004140.KS,동방,KOSPI,,naver_kospi
004150.KS,한솔홀딩스,KOSPI,,naver_kospi
004170.KS,신세계,KOSPI,,naver_kospi
004250.KS,NPC,KOSPI,,naver_kospi
004270.KS,남성,KOSPI,,naver_kospi
004310.KS,현대약품,KOSPI,,naver_kospi
004360.KS,세방,KOSPI,,naver_kospi
004370.KS,농심,KOSPI,,naver_kospi
004380.KS,삼익THK,KOSPI,,naver_kospi
004410.KS,서울식품,KOSPI,,naver_kospi
004430.KS,송원산업,KOSPI,,naver_kospi
004440.KS,삼일씨엔에스,KOSPI,,naver_kospi
004450.KS,삼화왕관,KOSPI,,naver_kospi
004490.KS,세방전지,KOSPI,,naver_kospi
004540.KS,깨끗한나라,KOSPI,,naver_kospi
004560.KS,현대비앤지스틸,KOSPI,,naver_kospi
004590.KQ,한국가구,KOSDAQ,,naver_kosdaq
004650.KQ,창해에탄올,KOSDAQ,,naver_kosdaq
004690.KS,삼천리,KOSPI,,naver_kospi
004700.KS,조광피혁,KOSPI,,naver_kospi
004710.KS,한솔테크닉스,KOSPI,,naver_kospi
004720.KS,팜젠사이언스,KOSPI,,naver_kospi
004770.KS,써니전자,KOSPI,,naver_kospi
004780.KQ,대륙제관,KOSDAQ,,naver_kosdaq
004800.KS,효성,KOSPI,,naver_kospi
004830.KS,덕성,KOSPI,,naver_kospi
004840.KS,DRB동일,KOSPI,,naver_kospi
004870.KS,티웨이홀딩스,KOSPI,,naver_kospi
004890.KS,동일산업,KOSPI,,naver_kospi
004910.KS,조광페인트,KOSPI,,naver_kospi
004920.KS,씨아이테크,KOSPI,,naver_kospi
004960.KS,한신공영,KOSPI,,naver_kospi
004970.KS,신라교역,KOSPI,,naver_kospi
004980.KS,성신양회,KOSPI,,naver_kospi
004990.KS,롯데지주,KOSPI,,naver_kospi
005010.KS,휴스틸,KOSPI,,naver_kospi
