ticker,name,market,source,sector
036830.KQ,솔브레인홀딩스,KOSDAQ,naver_kosdaq,
161580.KQ,필옵틱스,KOSDAQ,naver_kosdaq,
137400.KQ,피엔티,KOSDAQ,naver_kosdaq,
356860.KQ,티엘비,KOSDAQ,naver_kosdaq,
388720.KQ,유일로보틱스,KOSDAQ,naver_kosdaq,
252990.KQ,샘씨엔에스,KOSDAQ,naver_kosdaq,
490470.KQ,세미파이브,KOSDAQ,naver_kosdaq,
397030.KQ,에이프릴바이오,KOSDAQ,naver_kosdaq,
056190.KQ,에스에프에이,KOSDAQ,naver_kosdaq,
115180.KQ,큐리언트,KOSDAQ,naver_kosdaq,
204270.KQ,제이앤티씨,KOSDAQ,naver_kosdaq,
466100.KQ,클로봇,KOSDAQ,naver_kosdaq,
213420.KQ,덕산네오룩스,KOSDAQ,naver_kosdaq,
086450.KQ,동국제약,KOSDAQ,naver_kosdaq,
048410.KQ,현대바이오,KOSDAQ,naver_kosdaq,
122870.KQ,와이지엔터테인먼트,KOSDAQ,naver_kosdaq,
160190.KQ,하이젠알앤엠,KOSDAQ,naver_kosdaq,
035760.KQ,CJ ENM,KOSDAQ,naver_kosdaq,
376900.KQ,로킷헬스케어,KOSDAQ,naver_kosdaq,
222080.KQ,씨아이에스,KOSDAQ,naver_kosdaq,
033100.KQ,제룡전기,KOSDAQ,naver_kosdaq,
053610.KQ,프로텍,KOSDAQ,naver_kosdaq,
293490.KQ,카카오게임즈,KOSDAQ,naver_kosdaq,
014620.KQ,성광벤드,KOSDAQ,naver_kosdaq,
171090.KQ,선익시스템,KOSDAQ,naver_kosdaq,
050890.KQ,쏠리드,KOSDAQ,naver_kosdaq,
094170.KQ,동운아나텍,KOSDAQ,naver_kosdaq,
046890.KQ,서울반도체,KOSDAQ,naver_kosdaq,
348370.KQ,엔켐,KOSDAQ,naver_kosdaq,
023160.KQ,태광,KOSDAQ,naver_kosdaq,
358570.KQ,지아이이노베이션,KOSDAQ,naver_kosdaq,
033790.KQ,피노,KOSDAQ,naver_kosdaq,
126340.KQ,비나텍,KOSDAQ,naver_kosdaq,
253450.KQ,스튜디오드래곤,KOSDAQ,naver_kosdaq,
456160.KQ,지투지바이오,KOSDAQ,naver_kosdaq,
033640.KQ,네패스,KOSDAQ,naver_kosdaq,
032190.KQ,다우데이타,KOSDAQ,naver_kosdaq,
052020.KQ,에스티큐브,KOSDAQ,naver_kosdaq,
102710.KQ,이엔에프테크놀로지,KOSDAQ,naver_kosdaq,
241710.KQ,코스메카코리아,KOSDAQ,naver_kosdaq,
056080.KQ,유진로봇,KOSDAQ,naver_kosdaq,
052400.KQ,코나아이,KOSDAQ,naver_kosdaq,
006730.KQ,서부T&D,KOSDAQ,naver_kosdaq,
036810.KQ,에프에스티,KOSDAQ,naver_kosdaq,
476060.KQ,온코닉테라퓨틱스,KOSDAQ,naver_kosdaq,
121600.KQ,나노신소재,KOSDAQ,naver_kosdaq,
425420.KQ,티에프이,KOSDAQ,naver_kosdaq,
059090.KQ,미코,KOSDAQ,naver_kosdaq,
399720.KQ,가온칩스,KOSDAQ,naver_kosdaq,
037460.KQ,삼지전자,KOSDAQ,naver_kosdaq,
365340.KQ,성일하이텍,KOSDAQ,naver_kosdaq,
033160.KQ,엠케이전자,KOSDAQ,naver_kosdaq,
077360.KQ,덕산하이메탈,KOSDAQ,naver_kosdaq,
102940.KQ,코오롱생명과학,KOSDAQ,naver_kosdaq,
044490.KQ,태웅,KOSDAQ,naver_kosdaq,
348210.KQ,넥스틴,KOSDAQ,naver_kosdaq,
122640.KQ,예스티,KOSDAQ,naver_kosdaq,
225570.KQ,넥슨게임즈,KOSDAQ,naver_kosdaq,
053800.KQ,안랩,KOSDAQ,naver_kosdaq,
041960.KQ,코미팜,KOSDAQ,naver_kosdaq,
336570.KQ,원텍,KOSDAQ,naver_kosdaq,
089890.KQ,코세스,KOSDAQ,naver_kosdaq,
439960.KQ,코스모로보틱스,KOSDAQ,naver_kosdaq,
009520.KQ,포스코엠텍,KOSDAQ,naver_kosdaq,
086900.KQ,메디톡스,KOSDAQ,naver_kosdaq,
330860.KQ,네패스아크,KOSDAQ,naver_kosdaq,
348340.KQ,뉴로메카,KOSDAQ,naver_kosdaq,
253590.KQ,네오셈,KOSDAQ,naver_kosdaq,
093320.KQ,케이아이엔엑스,KOSDAQ,naver_kosdaq,
112040.KQ,위메이드,KOSDAQ,naver_kosdaq,
060250.KQ,NHN KCP,KOSDAQ,naver_kosdaq,
104830.KQ,원익머트리얼즈,KOSDAQ,naver_kosdaq,
170920.KQ,엘티씨,KOSDAQ,naver_kosdaq,
041830.KQ,인바디,KOSDAQ,naver_kosdaq,
389470.KQ,인벤티지랩,KOSDAQ,naver_kosdaq,
174900.KQ,앱클론,KOSDAQ,naver_kosdaq,
019210.KQ,와이지-원,KOSDAQ,naver_kosdaq,
383310.KQ,에코프로에이치엔,KOSDAQ,naver_kosdaq,
082270.KQ,젬백스,KOSDAQ,naver_kosdaq,
045100.KQ,한양이엔지,KOSDAQ,naver_kosdaq,
486990.KQ,노타,KOSDAQ,naver_kosdaq,
272290.KQ,이녹스첨단소재,KOSDAQ,naver_kosdaq,
327260.KQ,RF머트리얼즈,KOSDAQ,naver_kosdaq,
376300.KQ,디어유,KOSDAQ,naver_kosdaq,
168360.KQ,펨트론,KOSDAQ,naver_kosdaq,
033500.KQ,동성화인텍,KOSDAQ,naver_kosdaq,
015750.KQ,성우하이텍,KOSDAQ,naver_kosdaq,
067160.KQ,SOOP,KOSDAQ,naver_kosdaq,
064290.KQ,인텍플러스,KOSDAQ,naver_kosdaq,
200710.KQ,에이디테크놀로지,KOSDAQ,naver_kosdaq,
214430.KQ,아이쓰리시스템,KOSDAQ,naver_kosdaq,
035890.KQ,서희건설,KOSDAQ,naver_kosdaq,
278280.KQ,천보,KOSDAQ,naver_kosdaq,
448900.KQ,한국피아이엠,KOSDAQ,naver_kosdaq,
089010.KQ,켐트로닉스,KOSDAQ,naver_kosdaq,
160980.KQ,싸이맥스,KOSDAQ,naver_kosdaq,
368770.KQ,파이버프로,KOSDAQ,naver_kosdaq,
475960.KQ,토모큐브,KOSDAQ,naver_kosdaq,
039440.KQ,에스티아이,KOSDAQ,naver_kosdaq,
460930.KQ,현대힘스,KOSDAQ,naver_kosdaq,
125490.KQ,한라캐스트,KOSDAQ,naver_kosdaq,
219130.KQ,타이거일렉,KOSDAQ,naver_kosdaq,
230360.KQ,에코마케팅,KOSDAQ,naver_kosdaq,
200470.KQ,에이팩트,KOSDAQ,naver_kosdaq,
211050.KQ,인카금융서비스,KOSDAQ,naver_kosdaq,
030520.KQ,한글과컴퓨터,KOSDAQ,naver_kosdaq,
110990.KQ,디아이티,KOSDAQ,naver_kosdaq,
241770.KQ,메카로,KOSDAQ,naver_kosdaq,
