run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-30,kr,kospi_kosdaq,001450.KS,현대해상,38750.0,40350.0,41250.0,37692.5,good,,,,,,,,,,,,,,,
2026-07-30,kr,kospi_kosdaq,111770.KS,영원무역,89100.0,96921.43,102135.71,85675.0,good,,,,,,,,,,,,,,,
2026-07-30,kr,kospi_kosdaq,383220.KS,F&F,78900.0,82800.0,86100.0,77955.0,good,,,,,,,,,,,,,,,
2026-07-30,kr,kospi_kosdaq,068270.KS,셀트리온,190000.0,201325.0,208875.0,176450.0,good,,손익비 기준 미달: 0.78 < 1.20,,,,,,,,,,,,,
2026-07-30,kr,kospi_kosdaq,316140.KS,우리금융지주,32700.0,33100.0,36958.93,31180.0,good,,손익비 기준 미달: 0.25 < 1.20,,,,,,,,,,,,,
2026-07-29,kr,kospi_kosdaq,078930.KS,GS,84100.0,93507.14,95300.0,82030.0,good,,,1.0,2026-07-30,86500.0,2.8537,9.9881,1.9025,0.0,0.0,0.0,none,tracking,86100.0,2.3781
2026-07-29,kr,kospi_kosdaq,316140.KS,우리금융지주,32050.0,33100.0,33129.01,31012.5,good,,손익비 기준 미달: 0.98 < 1.20,1.0,2026-07-30,32700.0,2.0281,5.6162,-1.248,1.0,1.0,0.0,target2_first,tracking,32050.0,0.0
2026-07-29,kr,kospi_kosdaq,483650.KS,달바글로벌,265000.0,297871.43,319785.71,224380.0,good,,손익비 기준 미달: 0.69 < 1.20,1.0,2026-07-30,233500.0,-11.8868,1.6981,-12.6415,0.0,0.0,0.0,none,tracking,265000.0,0.0
2026-07-29,kr,kospi_kosdaq,271560.KS,오리온,135000.0,138387.81,141642.84,131756.78,good,,손익비 기준 미달: 1.02 < 1.20,1.0,2026-07-30,135300.0,0.2222,6.5926,-1.2593,1.0,1.0,0.0,target2_first,tracking,136100.0,0.8148
2026-07-29,kr,kospi_kosdaq,317400.KS,자이에스앤디,5480.0,6786.61,7657.68,5474.5,good,,,1.0,2026-07-30,5570.0,1.6423,8.5766,-2.7372,0.0,0.0,1.0,stop_first,tracking,5360.0,-2.1898
2026-07-28,kr,kospi_kosdaq,001450.KS,현대해상,38450.0,40350.0,41250.0,37372.5,good,,,2.0,2026-07-30,38750.0,0.7802,4.5514,-5.7217,0.0,0.0,1.0,stop_first,tracking,38250.0,-0.5202
