rank,current_price,previous_close,return_1d,return_5d,return_20d,ma20,ma50,ma200,rsi14,macd,macd_signal,macd_hist,macd_hist_prev,atr14,atr_pct,volume,volume_avg20,volume_ratio,cmf20,obv,high20,high60,high252,low20,low60,valid,exclude_reason,stop_loss,target1,target2,expected_return_1,expected_return_2,downside_risk,risk_reward,vcp_score,vcp_contractions,vcp_contraction_depths,vcp_volume_dryup,vcp_atr_compression,pivot_price,dist_to_pivot_pct,vcp_status,weekly_trend_ok,weekly_ma30,weekly_trend_reason,regime_state,regime_score,regime_message,trend_score,volume_score,momentum_score,macd_score,position_score,risk_reward_score,risk_penalty,base_score,final_score,decision,earnings_in_window,next_earnings_date,earnings_unknown,data_quality_flag,data_quality_reasons,zero_volume_ratio,stale_price_ratio,rows_after_quality,risk_reward_status_code,risk_reward_status_label,risk_reward_message,risk_reward_detail,chart_type,rs_rank,expected_r,valid_signal,signal_date,is_sample_data,evidence_points,risk_points,summary,ticker,market_region,universe_mode,name,market,sector,source,ticker_base,industry,sector_source,updated_at,market_regime,market_comment,market_return_5d,market_above_ma20,market_above_ma60,market_above_ma200,prev_close,last_open,last_close,last_day_return,open_gap,intraday_return,distance_from_ma20,distance_from_ma60,chase_risk_warning,score,adjusted_score,chart_type_penalty,quality_penalty,data_source,data_quality,data_warning,passed_liquidity_filter,liquidity_warning,filter_reason,avg_dollar_volume_20d,passed_risk_reward_filter,risk_reward_warning,force_inflow_pct,force_inflow_source,force_inflow_grade,fi_cmf20,fi_obv_slope,fi_vol_asym,fi_accum_bar_ratio,fi_box_breakout,force_position,position_multiplier,price_percentile_252,force_penalty,force_sequence,chart_score,composite_score,composite_source,selection_reason,caution,consecutive_recommendation_days,recommended_count_last_5_sessions,consecutive_recommendation_comment,sector_count_in_top5,sector_concentration_warning
42,29200.0,27900.0,4.66,0.86,34.19,26537.5,25407.8,25788.58,60.49,750.32,432.77,317.55,239.63355074396793,2239.29,7.67,299680.0,561682.3,0.53,0.19170223221939983,19958068.0,29200.0,37640.0,55680.0,24300.0,21760.0,True,거래량 부족; 손익비 부족,26537.5,32558.93,34798.21,11.5,19.17,10.03,1.15,0.0,0,[],0.0,0.0,39360.0,0.0,해당없음,True,29013.58,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,10,9,-5,-10,54,48,제외,False,,True,good,,0.033,0.0247,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,관찰 패턴,80.75,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 48점, 손익비는 1.15입니다.",183300.KQ,kr,kospi_kosdaq,코미코,KOSDAQ,반도체,naver_kosdaq,183300,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,27900.0,28100.0,29200.0,4.66,0.72,3.91,10.03,14.93,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,48.0,46.0,-2.0,0.0,real,good,,True,,,15143282617.5,False,손익비 기준 미달: 1.15 < 1.20,60.4,proxy,inflow,0.19,0.22,1.32,0.25,0.0,neutral,1.0,33.32,0.0,5.0,46.0,51.8,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
43,666000.0,661000.0,0.76,2.94,7.07,664900.0,644860.0,547468.44,52.41,6115.23,7082.6,-967.37,-1033.9003879936663,30714.29,4.61,55738.0,105556.25,0.53,0.2262794070193424,610428.0,702000.0,702000.0,730000.0,636000.0,587000.0,True,거래량 부족,664900.0,702000.0,742785.71,5.41,11.53,0.17,32.67,56.27,2,"[16.69, 13.35, 13.33]",0.885,0.924,705000.0,5.86,베이스 형성,True,580313.43,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,4,2,10,-13,53,55,관찰 후보,False,,True,good,,0.0,0.0,485,good,양호,목표 수익 대비 손실 위험이 상대적으로 작습니다.,손익비 기준으로는 우호적인 후보입니다.,VCP 베이스 형성,85.48,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"VCP base 유형이며 점수는 55점, 손익비는 32.67입니다.",000810.KS,kr,kospi_kosdaq,삼성화재,KOSPI,금융,naver_kospi,000810,손해보험,naver,2026-06-28T13:35:24,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,661000.0,666000.0,666000.0,0.76,0.76,0.0,0.17,3.28,,55.0,57.0,2.0,0.0,real,good,,True,,,70432352100.0,True,,43.5,proxy,neutral,0.23,0.1,1.29,0.05,0.0,neutral,1.0,79.41,0.0,5.0,57.0,51.6,blend,RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,목표 수익 대비 손실 위험이 상대적으로 작습니다.,0,0,,0,
44,137500.0,136700.0,0.59,1.63,11.43,135445.0,131323.6,114713.53,55.1,2202.76,2315.42,-112.66,-50.46324533182042,4835.71,3.52,812845.0,735183.8,1.11,0.16577362421452077,37264024.0,140800.0,140800.0,140800.0,128700.0,108749.48,True,점수 기준 미달,135445.0,140800.0,149589.29,2.4,8.79,1.52,1.58,62.97,2,"[24.49, 13.52, 13.38]",0.808,0.935,142000.0,3.27,베이스 형성,True,122847.82,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,6,20,0,12,6,0,74,68,관심 후보,False,,True,good,,0.0,0.0,485,normal,무난,손익비는 무난한 편입니다.,목표가와 손절가의 균형이 보통 수준입니다.,VCP 베이스 형성,89.39,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']","['규칙 기반의 주요 위험 신호는 크지 않지만, 시장 상황과 뉴스 리스크는 별도 확인이 필요합니다.']","VCP base 유형이며 점수는 68점, 손익비는 1.58입니다.",086790.KS,kr,kospi_kosdaq,하나금융지주,KOSPI,금융,naver_kospi,086790,은행,naver,2026-06-28T13:35:29,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,136700.0,137500.0,137500.0,0.59,0.59,0.0,1.52,4.7,,68.0,70.0,2.0,0.0,real,good,,True,,,99756656455.0,True,,23.5,proxy,outflow,0.17,0.34,1.18,0.05,0.0,top,0.6,94.73,8.0,5.0,70.0,51.4,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비는 무난한 편입니다.,0,0,,0,
45,70200.0,70400.0,-0.28,-0.71,0.29,69610.0,64916.0,74987.17,52.41,886.01,1046.6,-160.59,-167.37334557786676,3214.29,4.58,216593.0,244109.6,0.89,0.10881906537026043,65692794.0,75100.0,83400.0,144100.0,65600.0,45650.0,True,점수 기준 미달,69610.0,75021.43,78235.71,6.87,11.45,0.85,8.1,0.0,0,[],0.0,0.0,84000.0,0.0,해당없음,False,81330.0,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,25,3,15,4,2,10,0,59,50,관찰 후보,False,,True,good,,0.0,0.0,485,good,양호,목표 수익 대비 손실 위험이 상대적으로 작습니다.,손익비 기준으로는 우호적인 후보입니다.,관찰 패턴,91.65,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"관찰 패턴 유형이며 점수는 50점, 손익비는 8.1입니다.",103590.KS,kr,kospi_kosdaq,일진전기,KOSPI,반도체,naver_kospi,103590,전기장비,naver,2026-06-28T13:37:04,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,70400.0,70700.0,70200.0,-0.28,0.43,-0.71,0.85,8.14,,50.0,48.0,-2.0,0.0,real,good,,True,,,17097985190.0,True,,56.2,proxy,neutral,0.11,0.21,1.52,0.0,0.0,base,1.2,33.14,0.0,7.5,48.0,51.3,blend,RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,목표 수익 대비 손실 위험이 상대적으로 작습니다.,0,0,,1,
46,6440.0,6570.0,-1.98,-19.9,19.7,6191.25,5239.4,2638.36,53.74,534.18,611.64,-77.46,-34.86364308370821,1055.0,16.38,636796.0,5961735.05,0.11,-0.1701244080388181,139430099.0,8040.0,8120.0,8120.0,4670.0,3235.0,True,거래량 부족,6191.25,8022.5,8120.0,24.57,26.09,4.02,6.12,52.25,2,"[69.81, 53.85, 50.61]",0.992,0.817,9000.0,39.75,베이스 형성,True,3086.27,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,0,5,10,-10,50,55,관찰 후보,False,,True,good,,0.0041,0.0,485,good,양호,목표 수익 대비 손실 위험이 상대적으로 작습니다.,손익비 기준으로는 우호적인 후보입니다.,VCP 베이스 형성,96.6,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","VCP base 유형이며 점수는 55점, 손익비는 6.12입니다.",079650.KQ,kr,kospi_kosdaq,서산,KOSDAQ,기타,naver_kosdaq,079650,건축자재,naver,2026-06-28T13:36:03,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,6570.0,6580.0,6440.0,-1.98,0.15,-2.13,4.02,22.91,,55.0,57.0,2.0,0.0,real,good,,True,,,41129419239.0,True,,42.5,proxy,neutral,-0.17,0.84,3.72,0.2,0.0,neutral,1.0,76.47,0.0,2.5,57.0,51.2,blend,RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,목표 수익 대비 손실 위험이 상대적으로 작습니다.,0,0,,2,
47,8290.0,8080.0,2.6,-1.07,12.64,8169.5,6870.6,6466.1,58.39,400.69,489.57,-88.89,-85.84936490476179,483.21,5.83,749219.0,913997.6,0.82,0.07762454444138146,33464951.0,8950.0,8950.0,9300.0,7120.0,5270.0,True,점수 기준 미달,8169.5,8950.0,9498.04,7.96,14.57,1.47,5.4,50.06,2,"[13.22, 33.47, 25.3]",1.121,0.865,9290.0,12.06,베이스 형성,True,6791.0,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,3,15,0,5,10,0,63,58,관찰 후보,False,,True,good,,0.0,0.0,485,good,양호,목표 수익 대비 손실 위험이 상대적으로 작습니다.,손익비 기준으로는 우호적인 후보입니다.,VCP 베이스 형성,83.3,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '손익비가 1.5 이상으로 단기 관찰 조건이 비교적 양호합니다.']",['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.'],"VCP base 유형이며 점수는 58점, 손익비는 5.4입니다.",000370.KS,kr,kospi_kosdaq,한화손해보험,KOSPI,금융,naver_kospi,000370,손해보험,naver,2026-06-28T13:35:24,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,8080.0,8120.0,8290.0,2.6,0.5,2.09,1.47,20.66,,58.0,60.0,2.0,0.0,real,good,,True,,,7543357512.0,True,,37.9,proxy,weak,0.08,0.19,1.5,0.15,0.0,neutral,1.0,75.95,0.0,7.5,60.0,51.2,blend,RSI가 과열 구간은 아닙니다. 손절가 대비 목표가의 손익비가 양호합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,목표 수익 대비 손실 위험이 상대적으로 작습니다.,0,0,,0,
48,33700.0,32450.0,3.85,6.98,7.84,32130.0,29994.0,26540.38,60.82,600.38,609.41,-9.03,-121.52023040652011,1300.0,3.86,309918.0,375328.5,0.83,0.17454275505392883,7245736.0,35650.0,35650.0,35650.0,30350.0,25150.0,True,손익비 부족,32130.0,35650.0,36950.0,5.79,9.64,4.89,1.18,72.49,2,"[16.01, 27.98, 16.64]",0.798,0.576,35750.0,6.08,베이스 형성,True,27721.05,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,3,20,4,5,-5,0,57,58,관찰 후보,False,,True,good,,0.0,0.0,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,VCP 베이스 형성,81.12,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP base 유형이며 점수는 58점, 손익비는 1.18입니다.",096530.KQ,kr,kospi_kosdaq,씨젠,KOSDAQ,IT·소프트웨어,naver_kosdaq,096530,생명과학도구및서비스,naver,2026-06-28T13:35:57,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,32450.0,32300.0,33700.0,3.85,-0.46,4.33,4.89,12.36,,58.0,60.0,2.0,0.0,real,good,,True,,,12232155985.0,False,손익비 기준 미달: 1.18 < 1.20,38.1,proxy,weak,0.17,0.05,1.23,0.15,0.0,neutral,1.0,86.37,0.0,5.0,60.0,51.2,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,1,
49,128200.0,130700.0,-1.91,-4.26,11.58,122315.0,109870.0,83550.29,56.37,5312.06,5265.36,46.7,242.88038658462028,8178.57,6.38,242946.0,768151.65,0.32,0.026453379495850467,96913395.0,133900.0,157300.0,157300.0,99700.0,63800.0,True,거래량 부족; 손익비 부족,122315.0,133900.0,148646.43,4.45,15.95,4.81,0.92,67.59,2,"[41.35, 50.4, 29.07]",0.836,0.62,138300.0,7.88,베이스 형성,True,98288.33,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,6,5,-5,-5,46,55,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,98.85,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP base 유형이며 점수는 55점, 손익비는 0.92입니다.",222800.KQ,kr,kospi_kosdaq,심텍,KOSDAQ,반도체,naver_kosdaq,222800,전자장비와기기,naver,2026-06-28T13:34:36,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,130700.0,130500.0,128200.0,-1.91,-0.15,-1.76,4.81,16.68,,55.0,57.0,2.0,0.0,real,good,,True,,,94258022040.0,False,손익비 기준 미달: 0.92 < 1.20,42.4,proxy,neutral,0.03,0.34,1.47,0.1,0.0,neutral,1.0,78.1,0.0,7.5,57.0,51.2,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
50,142100.0,133600.0,6.36,0.64,16.57,135630.0,132392.0,133413.38,55.61,1772.59,1685.79,86.8,-187.44241051921358,7442.86,5.24,338393.0,234064.9,1.45,0.04992051835329682,10521375.0,143000.0,143800.0,198100.0,115500.0,110200.0,True,손익비 부족,135630.0,143000.0,143800.0,0.63,1.2,4.77,0.13,0.0,0,[],0.0,0.0,149700.0,0.0,해당없음,False,143493.33,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,10,20,10,15,-5,0,80,61,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,눌림목 반등,85.92,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"눌림목 반등 유형이며 점수는 61점, 손익비는 0.13입니다.",267270.KS,kr,kospi_kosdaq,HD건설기계,KOSPI,조선·기계·방산,naver_kospi,267270,기계,naver,2026-06-28T13:37:08,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,133600.0,138500.0,142100.0,6.36,3.67,2.6,4.77,7.33,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다.,61.0,64.0,3.0,0.0,real,good,,True,,,31751909335.0,False,손익비 기준 미달: 0.13 < 1.20,31.7,proxy,weak,0.05,0.07,1.49,0.0,0.0,neutral,1.0,49.2,0.0,5.0,64.0,51.1,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다.,0,0,,0,
51,13330.0,12920.0,3.17,-8.7,9.35,12309.5,11222.6,13169.98,57.62,568.85,436.25,132.6,165.44879124409255,1052.86,7.9,5118997.0,6692923.4,0.76,0.1807285462848977,2524940624.0,14600.0,14600.0,29300.0,10500.0,7740.0,True,손익비 부족,12309.5,14600.0,15962.14,9.53,19.75,8.29,1.15,0.0,0,[],0.0,0.0,15070.0,0.0,해당없음,False,16160.33,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,15,6,3,-5,-5,44,43,제외,False,,True,good,,0.0,0.0,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,관찰 패턴,97.19,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 43점, 손익비는 1.15입니다.",032820.KQ,kr,kospi_kosdaq,우리기술,KOSDAQ,기타,naver_kosdaq,032820,우주항공과국방,naver,2026-06-28T13:36:55,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,12920.0,12920.0,13330.0,3.17,0.0,3.17,8.29,18.78,,43.0,41.0,-2.0,0.0,real,good,,True,,,88745967111.5,False,손익비 기준 미달: 1.15 < 1.20,66.0,proxy,inflow,0.18,0.6,2.86,0.2,0.0,neutral,1.0,37.86,0.0,0.0,41.0,51.0,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,2,
52,37600.0,34950.0,7.58,4.44,1.9,35542.5,34808.0,35192.2,56.53,-101.41,-181.1,79.69,-140.11663955473625,2103.57,5.59,3318002.0,1353632.15,2.45,-0.05766302569707235,183148055.0,38750.0,51300.0,56800.0,33450.0,24750.0,True,손익비 부족,35542.5,38750.0,42858.93,3.06,13.99,5.79,0.53,0.0,0,[],0.0,0.0,54800.0,0.0,해당없음,False,38176.67,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,20,10,9,-5,0,79,62,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,상대강도 우위,96.53,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"상대강도 우위 유형이며 점수는 62점, 손익비는 0.53입니다.",067310.KQ,kr,kospi_kosdaq,하나마이크론,KOSDAQ,반도체,naver_kosdaq,067310,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,34950.0,35850.0,37600.0,7.58,2.58,4.88,5.79,8.02,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다.,62.0,64.0,2.0,0.0,real,good,,True,,,48636810187.5,False,손익비 기준 미달: 0.53 < 1.20,31.0,proxy,weak,-0.06,0.17,1.49,0.1,0.0,neutral,1.0,55.64,0.0,2.5,64.0,50.8,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다.,0,0,,1,
53,2595.0,2560.0,1.37,2.17,69.28,1985.1,1722.98,2020.38,68.78,273.54,193.65,79.89,92.73855770072691,313.43,12.08,398213.0,4217312.15,0.09,0.1535516261253667,235790936.0,2790.0,2790.0,3060.0,1516.0,1349.0,True,거래량 부족; 손익비 부족,1985.1,2790.0,3378.57,7.51,30.2,30.72,0.24,0.0,0,[],0.0,0.0,3060.0,0.0,해당없음,True,1937.57,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,16,6,3,-5,-10,40,38,제외,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,관찰 패턴,66.59,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","관찰 패턴 유형이며 점수는 38점, 손익비는 0.24입니다.",010580.KS,kr,kospi_kosdaq,에스엠벡셀,KOSPI,자동차·부품,naver_kospi,010580,자동차부품,naver,2026-06-28T13:35:53,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,2560.0,2585.0,2595.0,1.37,0.98,0.39,30.72,50.61,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,38.0,36.0,-2.0,0.0,real,good,,True,,,10174893277.5,False,손익비 기준 미달: 0.24 < 1.20,73.0,proxy,inflow,0.15,0.71,3.7,0.3,0.0,neutral,1.0,72.82,0.0,0.0,36.0,50.8,blend,현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
