ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
FFIV,2025-05-13,2025-05-14,2025-05-20,283.0,286.8999938964844,268.82714407784596,311.345711844308,time,0.2432,64,77.31,100.0,neutral,70.6713780918728,243.62,IS
FFIV,2025-05-20,2025-05-21,2025-05-28,285.1099853515625,283.2900085449219,273.6942661830357,307.94142368861606,time,-0.1994,56,85.02,100.0,neutral,70.31926140335378,-160.06,IS
FFIV,2025-05-28,2025-05-29,2025-06-04,285.5299987792969,293.8299865722656,274.3628452845982,307.8643057686942,time,0.7023,65,85.69,100.0,neutral,70.10370958465835,549.83,IS
FFIV,2025-06-04,2025-06-05,2025-06-11,293.7900085449219,292.8900146484375,283.278564453125,314.8128967285156,time,-0.1303,72,79.61,100.0,neutral,68.50702258629477,-93.86,IS
FFIV,2025-06-11,2025-06-12,2025-06-18,292.3800048828125,286.4800109863281,282.5942818777902,311.95145089285717,time,-0.6507,62,75.28,100.0,neutral,68.77319480665216,-437.93,IS
FFIV,2025-06-20,2025-06-23,2025-06-27,287.42999267578125,295.75,278.12284197126115,306.04429408482144,time,0.8445,62,83.49,100.0,neutral,69.65285713863362,547.48,IS
FFIV,2025-07-25,2025-07-28,2025-07-31,299.5400085449219,321.55143083844865,288.53429739815846,321.55143083844865,target,1.9565,68,70.12,100.0,neutral,67.20242904722217,1447.01,IS
FFIV,2025-08-28,2025-08-29,2025-09-02,319.07000732421875,307.6371503557478,307.6371503557478,341.9357212611607,stop,-1.0447,81,77.34,100.0,neutral,63.996045915098556,-764.33,IS
FFIV,2025-09-08,2025-09-09,2025-09-15,319.8599853515625,324.1000061035156,308.6328430175781,342.31427001953125,time,0.3321,71,71.51,100.0,neutral,63.36007656177771,236.22,IS
FFIV,2025-10-03,2025-10-06,2025-10-10,325.8800048828125,331.75,313.3357151576451,350.9685843331473,time,0.4264,51,77.8,100.0,neutral,62.334593198226116,333.4,IS
